City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,alta floresta,-9.8756,-56.0861,70.0,97,61,1.57,BR,1675918647
320,amazar,53.858,120.875,6.44,84,100,2.08,RU,1675918650
321,kruisfontein,-34.0033,24.7314,65.52,79,96,2.55,ZA,1675918595
322,ilhabela,-23.7781,-45.3581,72.88,88,10,3.87,BR,1675918651
323,tessalit,20.1986,1.0114,64.56,21,2,10.63,ML,1675918651
324,eregli,37.5133,34.0467,12.27,83,56,3.11,TR,1675918652
325,mecca,21.4267,39.8261,66.22,37,64,3.31,SA,1675918652
326,jumla,29.2747,82.1838,53.22,24,23,5.44,NP,1675918653
327,vaitape,-16.5167,-151.75,81.32,71,10,7.11,PF,1675918653
328,san rafael,-34.6177,-68.3301,77.97,37,30,4.45,AR,1675918654
329,gawler,-34.6,138.7333,99.1,16,0,9.98,AU,1675918654
330,turayf,31.6725,38.6637,34.05,86,40,4.61,SA,1675918655
331,gornyye klyuchi,45.25,133.5,11.17,71,8,3.38,RU,1675918655
332,sao jose da coroa grande,-8.8978,-35.1478,77.47,81,95,5.1,BR,1675918560
333,zhangye,38.9342,100.4517,40.42,23,3,7.49,CN,1675918479
334,olafsvik,64.8945,-23.7142,24.15,60,100,17.6,IS,1675918592
335,kargopol,61.5071,38.9456,32.04,83,96,13.42,RU,1675918656
336,fukue,32.6881,128.8419,52.16,50,0,6.91,JP,1675918656
337,kalmunai,7.4167,81.8167,81.0,76,99,9.69,LK,1675918657
338,sao filipe,14.8961,-24.4956,68.94,76,66,8.75,CV,1675918657
339,port shepstone,-30.7414,30.455,71.89,79,100,21.36,ZA,1675918542
340,ust-nera,64.5667,143.2,-33.86,97,82,2.13,RU,1675918581
341,honiara,-9.4333,159.95,84.76,70,59,5.59,SB,1675918624
342,great yarmouth,52.6083,1.7305,34.09,91,100,9.95,GB,1675918658
343,maniitsoq,65.4167,-52.9,23.07,96,100,9.19,GL,1675918658
344,klyuchi,52.2667,79.1667,-2.15,98,97,4.5,RU,1675918658
345,hami,42.8,93.45,39.47,36,100,2.75,CN,1675918659
346,antofagasta,-23.65,-70.4,69.08,85,39,2.84,CL,1675918564
347,saint-pierre,-21.3393,55.4781,82.18,65,0,8.05,RE,1675918547
348,teya,60.3778,92.6267,2.16,93,99,3.27,RU,1675918565
349,ramhormoz,31.28,49.6035,53.17,52,45,1.3,IR,1675918659
350,naze,28.3667,129.4833,63.52,69,100,17.94,JP,1675918660
351,policka,49.7146,16.2654,19.92,73,7,11.7,CZ,1675918660
352,missoula,47.0166,-113.8009,21.6,94,60,2.62,US,1675918660
353,hirara,24.8,125.2833,75.06,78,75,16.11,JP,1675918593
354,nha trang,12.25,109.1833,84.2,72,84,7.11,VN,1675918645
355,severo-kurilsk,50.6789,156.125,23.23,52,88,21.92,RU,1675918639
356,marienburg,54.0359,19.0266,23.58,86,99,12.06,PL,1675918661
357,husavik,66.0449,-17.3389,26.11,78,61,25.7,IS,1675918661
358,sattahip,12.6664,100.9007,91.98,74,20,8.05,TH,1675918662
359,jiujiang,29.7333,115.9833,46.6,91,100,5.48,CN,1675918662
360,bayshore gardens,27.4253,-82.5904,69.78,67,0,12.66,US,1675918663
361,prainha,-1.8,-53.48,73.67,96,100,2.89,BR,1675918663
